date,price
56,3545
57,3480
60,3470
61,3475
62,3500
63,3470
64,3325
67,3420
68,3350
69,3360
70,3390
71,3410
74,3320
75,3300
76,3385
77,3395
81,3450
82,3565
83,3620
84,3640
85,3660
88,3530
89,3550
90,3690
91,3710
92,3715
95,3705
96,3585
97,3400
98,3325
102,3425
103,3535
104,3535
105,3520
106,3530
109,3555
110,3550
111,3545
112,3510
113,3370
116,3310
117,3225
118,3255
119,3225
120,3220
123,3175
124,3015
125,3080
126,2915
127,2990
130,3055
131,3175
132,3130
133,3070
134,3065
137,3010
138,3060
139,3025
140,2970
141,2805
144,2825
145,2945
146,2995
147,3030
148,3050
151,3020
152,3015
153,2970
154,2935
155,2900
158,2685
159,2690
160,2830
161,2790
162,2850
165,2925
166,2910
167,2830
168,2925
169,2925
172,2840
173,2855
174,2770
175,2790
176,2730
181,2665
182,2615
183,2570
186,2580
187,2715
188,2740
189,2730
193,2710
194,2695
195,2625
196,2640
197,2690
200,2605
201,2510
202,2465
203,2495
204,2525
207,2565
208,2530
209,2565
210,2590
211,2550
214,2690
215,2750
216,2825
217,2965
218,2910
221,2740
222,2650
223,2620
224,2560
225,2575
228,2540
229,2630
230,2600
231,2670
232,2750
235,2750
236,2655
237,2535
238,2560
239,2550
242,2530
243,2620
244,2610
245,2585
246,2545
249,2510
250,2410
251,2395
252,2330
253,2340
256,2290
257,2245
258,2205
259,2235
260,2250
263,2285
264,2355
265,2330
266,2325
267,2295
270,2310
271,2275
272,2295
273,2280
277,2270
278,2155
279,1965
280,1945
281,2000
284,2010
285,2010
286,1965
287,1900
288,2040
291,2070
292,2025
293,2010
294,2035
295,2070
298,2140
299,2240
300,2210
301,2285
302,2450
305,2550
306,2395
307,2385
319,2400
320,2585
321,2575
322,2560
323,2555
326,2610
327,2615
328,2575
329,2585
330,2595
334,2740
335,2840
336,2770
337,2760
340,2775
341,2695
342,2655
343,2660
344,2615
347,2685
348,2640
349,2605
350,2650
351,2615
354,2615
355,2600
356,2595
357,2565
358,2555
361,2490
362,2490
363,2580
364,2600
365,2525
370,2500
371,2545
372,2490
375,2485
376,2470
377,2465
378,2460
379,2470
382,2450
383,2480
384,2420
385,2390
386,2335
389,2240
390,2295
391,2250
392,2280
393,2270
397,2305
398,2325
399,2325
400,2340
403,2530
404,2530
405,2700
406,2700
407,2635
410,2625
411,2680
412,2645
